Country,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2016-Year2000,CountryName
AUS,17.2,14.34210526,15,13.04347826,14.35294118,15.77777778,16.66666667,15.4,11.93737769,16.36363636,14.04293381,15.96638656,13.75,18,15.38461539,13,14.28631056,2.913689445,Australia
AUT,23.14194309,22.80181782,24.48922362,21.13692198,22.43079216,22.03208575,21.85513043,21.63427637,20.91732027,19.35596592,19.18886268,18.55055412,18.18505684,18.05321141,17.72888425,17.04325299,17.04325299,6.098690098,Austria
BEL,13.59923114,13.18681319,11.60471442,15.20518359,11.83206107,11.51109251,10.25326797,9.873617694,8.915753683,7.480461481,7.04379562,5.838108883,6.411149826,5.912863071,3.298900367,3.298900367,3.298900367,10.30033077,Belgium
CAN,23.875,24.32457913,24.0131579,22.50234034,22.71794872,21.25,21.12332112,20.80823529,20.45454546,20.13186813,18.97746967,19.17553192,19.51123128,19.30323498,19.229,18.62745098,18.62745098,5.24754902,Canada
CZE,16.87662165,16.87662165,15.95069783,15.63749732,16.14681968,15.93892946,15.35176621,16.93153188,17.87301988,15.10501797,15.79850307,16.3296567,15.26297988,15.37883532,16.2545602,16.45515416,16.31571143,0.56091022,Czech Republic
DNK,10.79707567,10.79707567,10.79707567,9.921804087,10.18220538,10.16733042,10.17206125,9.850297938,10.18354903,10.17200504,8.895098496,7.947197261,6.9998449,6.76891196,6.323865702,5.836048095,5.836048095,4.961027577,Denmark
FIN,20.42748918,21.23909129,20.37320281,20.09925558,20.01515104,18.94169403,19.37479454,21.37690409,21.23395266,19.67567279,18.87699985,18.6076171,18.72607453,20.17843271,19.60907945,18.05598132,18.05598132,2.371507854,Finland
FRA,13.30472103,13.30472103,13.30472103,9.390746679,9.118807541,9.872102318,9.390746679,9.872102318,9.872102318,9.872102318,9.118807541,9.872102318,9.872102318,9.872102318,9.872102318,9.872102318,9.872102318,3.432618712,France
DEU,20.5107084,19.2485083,19.13580247,20.39758504,22.50935252,17.30205279,19.62209302,17.10526316,17.44233577,17.04545455,16.75081342,16.66666667,15.30054645,13.85714286,17.07953064,17.07953064,17.07953064,3.431177764,Germany
GRC,13.8755983,13.8755983,13.8755983,13.8755983,13.8755983,16.66666569,11.87862949,11.62904936,9.523771574,9.587165735,12.1728406,10.71428576,6.852802021,11.27373202,9.090908085,6.249999287,6.249999287,7.625599011,Greece
HUN,14.09876804,13.68978149,9.129712294,1.47600449,3.034373765,4.021526574,0.384387036,3.648106127,2.22065446,3.87608807,6.381712252,6.863905325,11.33246244,8.723650635,3.772605527,9.523809524,9.523809524,4.574958519,Hungary
IRL,19.22546295,19.22546295,19.22546295,19.22546295,19.22546295,13.19922882,12.40007676,15.89032991,13.32855935,15.97781296,14.31478374,14.07981263,14.52746333,13.59348986,9.931402995,9.931402995,9.931402995,9.294059955,Ireland
ISL,19.72972973,19.72972973,19.72972973,19.70283629,18.23030174,13.79310345,14.41132686,17.95344797,14.96402878,14.88707738,12.84472988,10.44685255,8.50075339,12.7698278,15.17342812,14.44894073,14.44894073,5.280789002,Iceland
ITA,8.518518517,8.518518517,10.34482759,10.34482759,6.666666664,6.666666664,7.692307695,7.692307695,11.76470588,11.76470588,9.940335475,9.940335475,11.11111111,11.11111111,5.555555553,5.555555553,5.555555553,2.962962964,Italy
JPN,33.85930309,33.86467144,32.52972259,31.99735012,31.08739159,32.82543889,32.98083278,31.7423231,30.69439785,28.28492393,28.68430093,27.39536493,26.52354571,26.58757851,25.87099,25.73179033,25.73179033,8.127512756,Japan
KOR,41.65435244,40.41614049,41.02851279,40.08315463,39.62354825,39.61663236,39.77414431,38.16206428,39.03744173,38.6146827,39.60585734,36.5642295,36.29852997,36.59963437,36.65317614,37.17628175,36.66666667,4.987685774,South Korea
LUX,15.08852964,15.08852964,15.08852964,15.08852964,7.668067227,7.668067227,7.668067227,7.668067227,7.668067227,4.592164419,4.592164419,4.592164419,4.592164419,3.402916786,3.402916786,3.402916786,3.402916786,11.68561285,Luxembourg
NLD,16.05038602,16.05038602,16.05038602,16.05038602,16.05038602,16.05038602,16.00806452,16.00806452,16.00806452,16.00806452,17.88914703,17.88914703,17.88914703,17.88914703,14.11468179,14.11468179,14.11468179,1.935704232,Netherlands
NZL,7.166556072,8.056265985,7.3125,7.692307692,8.076699593,9.611111111,9.333333333,7.142857143,8.053691275,8.759124088,7.011235955,4.533333333,5.907906169,6.594323873,6.083333333,6.083333333,6.083333333,1.083222738,New Zealand
NOR,10.18854242,10.74286708,10.68187393,10.21170116,9.70579198,9.388516033,9.162434733,9.831148259,9.23566879,8.66873065,8.059701493,7.780979827,6.406685237,7.008086253,6.282722513,7.124681934,7.124681934,3.063860488,Norway
POL,14.29974246,14.29974246,11.31595541,11.31595541,10.63884891,10.63884891,11.44042048,11.44042048,12.99382224,12.99382224,7.190207044,7.190207044,10.62015527,10.62015527,11.07286288,11.07286288,11.07286288,3.226879576,Poland
PRT,13.03030352,13.03030352,13.03030352,13.03030352,13.03030352,15.9663881,14.3548395,15.27777972,15.63548277,13.79250058,13.45086716,15.24812329,16.31546546,16.66666636,18.879689,18.91701543,18.91701543,-5.886711909,Portugal
SVK,20.35516093,20.35516093,20.35516093,20.68965517,20.88376561,20.09925558,17.80276817,17.52170482,16.44476957,16.43272126,14.85111765,15.44985643,15.96526916,14.10932976,14.35004753,13.37662489,13.89918214,6.455978789,Slovak Republic
ESP,17.16196137,17.16196137,17.16196137,17.16196137,17.16196137,17.16196137,13.53333333,13.53333333,13.53333333,13.53333333,13.50446429,13.50446429,13.50446429,13.50446429,11.54049762,11.54049762,11.54049762,5.621463749,Spain
SWE,15.49573211,16.59149485,15.8579131,16.00508098,15.32059186,14.44411148,14.58948612,16.36363636,15.38904899,14.91743633,14.32126071,15.93451569,15.13586957,13.42049093,13.42049093,13.42049093,13.42049093,2.07524118,Sweden
CHE,23.78714118,23.78714118,22.80161943,22.80161943,22.012478,22.012478,21.31813213,21.31813213,21.30750605,21.30750605,20.05359536,20.05359536,19.34352644,19.34352644,16.94074284,16.94074284,16.94074284,6.846398337,Switzerland
TUR,3.206997085,3.206997085,3.206997085,3.206997085,3.206997085,3.206997085,3.206997085,3.206997085,3.206997085,3.206997085,3.10421286,3.10421286,3.10421286,3.10421286,6.882591093,6.882591093,6.882591093,-3.675594009,Turkey
GBR,26.28031382,25.63964591,24.37909945,24.12446709,23.35874097,22.06395819,21.71808403,21.6347807,21.85786912,20.68629596,19.23143692,18.2460052,17.78388278,17.48201439,17.38274257,17.10155148,16.83973693,9.440576886,United Kingdom
USA,23.08892356,23.58208955,22.09131075,20.57553957,19.63534362,18.97506925,19.24629879,19.84334204,20.05012531,19.78021978,18.81067961,17.78846154,19.08665105,17.90697674,17.45120551,18.88268156,18.1420765,4.946847054,United States
CHL,3.958415842,3.958415842,3.958415842,3.958415842,3.958415842,3.958415842,3.958415842,3.958415842,3.958415842,9.090909091,9.090909091,16,16,16.66666667,16.66666667,21.05263158,21.05263158,-17.09421574,Chile
EST,25.00065194,25.00065194,25.00065194,25.00065194,25.00065194,25.00065194,29.6875,29.6875,29.6875,29.6875,27.79783394,27.79783394,27.79783394,27.79783394,28.33935018,28.33935018,28.33935018,-3.33869824,Estonia
ISR,28.10349985,28.10349985,24.52009598,24.61492448,25.46195257,22.35153686,22.01591512,21.1606511,22.02600958,20.26863667,20.70009212,21.82741117,21.82741117,21.82741117,21.82741117,21.82741117,21.82741117,6.276088682,Israel
SVN,9.405241223,9.405241223,9.405241223,9.405241223,9.405241223,9.405241223,7.220573689,7.220573689,7.220573689,7.220573689,0.991735537,0.991735537,0.991735537,0.991735537,4.996271439,4.996271439,4.996271439,4.408969784,Slovenia
MEX,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,16.66666667,18.60465116,12.5,22.22222222,16.66666667,11.62790698,10,13.55555556,15.43340381,18.3,16.66666667,16.49224806,0.174418605,Mexico
LVA,18.91955557,18.91955557,18.91955557,18.91955557,18.91955557,18.91955557,10.99195711,10.99195711,10.99195711,10.99195711,19.05564924,19.05564924,19.05564924,19.05564924,21.12299465,21.12299465,21.12299465,-2.203439079,Latvia
COL,1.339317018,1.339317018,1.339317018,1.339317018,1.339317018,1.339317018,1.339317018,1.339317018,1.739690722,3.384675171,6.430555556,3.534808419,8.197946776,7.142857143,9.6,11.14171573,11.14171573,-9.80239871,Colombia
World Average,17.20244893,17.12297694,16.6576588,16.16387011,15.79308886,15.40307947,14.90367062,14.9227371,14.98873144,14.72734655,14.17785048,14.04114201,14.2290885,14.38754521,14.15238398,14.21927542,14.21880241,2.98364652,World Average